Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,blueberries,57,0.3,0,0,0.1,14,10,0.7,2.4,0,1,84,0.003,0.037,0.006,0,0.041,0.418,0.124,0.052,9.7,0,0.57,19.3,6,0.057,0.28,6,0.336,12,77,0.1,0.16,10.2
1,raspberries,52,0.7,0,0.1,0.4,12,4.4,1.2,6.5,0,1,85,0.002,0.032,0.021,0,0.038,0.598,0.329,0.055,26.2,0,0.87,7.8,25,0.09,0.69,22,0.67,29,151,0.2,0.42,13.1
2,blackberries,43,0.5,0,0.1,0.3,10,4.9,1.4,5.3,0,1,88,0.011,0.02,0.025,0,0.026,0.646,0.276,0.03,21,0,1.17,19.8,29,0.165,0.62,20,0.646,22,162,0.4,0.53,13.5
3,pineapple,50,0.1,0,0,0,13,10,0.5,1.4,0,1,86,0.003,0.079,0.018,0,0.032,0.5,0.213,0.112,47.8,0,0.02,0.7,13,0.11,0.29,12,0.927,8,109,0.1,0.12,9.8
4,mango,60,0.4,0.1,0.1,0.1,15,14,0.8,1.6,0,1,83,0.054,0.028,0.043,0,0.038,0.669,0.197,0.119,36.4,0,0.9,4.2,11,0.111,0.16,10,0.063,14,168,0.6,0.09,11.2
5,kiwi,61,0.5,0,0,0.3,15,9,1.1,3,0,3,83,0.004,0.027,0.025,0,0.025,0.341,0.183,0.063,92.7,0,1.46,40.3,34,0.13,0.31,17,0.098,34,312,0.2,0.14,14.2
6,watermelon,30,0.2,0,0,0.1,8,6,0.6,0.4,0,1,91,0.028,0.033,0.003,0,0.021,0.178,0.221,0.045,8.1,0,0.05,0.1,7,0.042,0.24,10,0.038,11,112,0.4,0.1,7.5
7,cantaloupe,34,0.2,0.1,0,0.1,8,8,0.8,0.9,0,16,90,0.169,0.041,0.021,0,0.019,0.734,0.105,0.072,36.7,0,0.05,2.5,9,0.041,0.21,12,0.041,15,267,0.4,0.18,10.6
8,papaya,43,0.3,0.1,0.1,0.1,11,8,0.5,1.7,0,8,88,0.047,0.023,0.037,0,0.027,0.357,0.191,0.038,60.9,0,0.3,2.6,20,0.045,0.25,21,0.04,10,182,0.6,0.08,11.4
9,peach,39,0.3,0,0.1,0.1,10,8,0.9,1.5,0,0,89,0.016,0.024,0.004,0,0.031,0.806,0.153,0.025,6.6,0,0.73,2.6,6,0.068,0.25,9,0.061,20,190,0.1,0.17,8.9
10,plum,46,0.3,0,0.1,0.1,11,10,0.7,1.4,0,0,87,0.017,0.028,0.005,0,0.026,0.417,0.135,0.029,9.5,0,0.26,6.4,6,0.057,0.17,7,0.052,16,157,0,0.1,8.6
11,cherries,63,0.2,0,0.1,0.1,16,13,1.1,2.1,0,0,82,0.003,0.027,0.004,0,0.033,0.154,0.199,0.049,7,0,0.07,2.1,13,0.06,0.36,11,0.07,21,222,0,0.07,9.3
12,apricot,48,0.4,0,0.2,0.1,11,9,1.4,2,0,1,86,0.096,0.03,0.009,0,0.04,0.6,0.24,0.054,10,0,0.89,3.3,13,0.078,0.39,10,0.077,23,259,0.1,0.2,10.1
13,pomegranate,83,1.2,0.1,0.1,0.1,19,14,1.7,4,0,3,78,0,0.067,0.038,0,0.053,0.293,0.377,0.075,10.2,0,0.6,16.4,10,0.158,0.3,12,0.119,36,236,0.5,0.35,12.4
16,avocado,160,15,2.1,10,1.8,9,0.7,2,7,0,7,73,0.007,0.067,0.081,0,0.13,1.738,1.389,0.257,10,0,2.07,21,12,0.19,0.55,29,0.142,52,485,0.4,0.64,18.2
17,figs,74,0.3,0.1,0.1,0.1,19,16,0.8,2.9,0,1,79,0.007,0.06,0.006,0,0.05,0.4,0.3,0.11,2,0,0.11,4.7,35,0.07,0.37,17,0.128,14,232,0.2,0.15,9.5
18,cranberries,46,0.1,0,0,0,12,4,0.4,4.6,0,2,87,0.003,0.012,0.001,0,0.02,0.1,0.3,0.06,14,0,1.2,5.1,8,0.06,0.25,6,0.36,11,80,0.1,0.1,11.1
19,tomato,18,0.2,0,0,0.1,3.9,2.6,0.9,1.2,0,5,95,0.042,0.037,0.015,0,0.019,0.594,0.089,0.08,13.7,0,0.54,7.9,10,0.059,0.27,11,0.114,24,237,0.4,0.17,12.4
20,cucumber,15,0.1,0,0,0,3.6,1.7,0.7,0.5,0,2,95,0.005,0.027,0.007,0,0.033,0.098,0.259,0.04,2.8,0,0.03,16.4,16,0.041,0.28,13,0.079,24,147,0.3,0.2,8.1
21,carrot,41,0.2,0,0,0.1,10,4.7,0.9,2.8,0,69,88,0.835,0.066,0.019,0,0.058,0.983,0.273,0.138,5.9,0,0.66,13.2,33,0.045,0.3,12,0.143,35,320,0.1,0.24,15.1
22,broccoli,34,0.4,0,0,0.1,7,1.7,2.8,2.6,0,33,89,0.031,0.071,0.063,0,0.117,0.639,0.573,0.175,89.2,0,0.78,101.6,47,0.049,0.73,21,0.21,66,316,2.5,0.41,18.4
23,cauliflower,25,0.3,0.1,0.1,0.1,5,2,1.9,2,0,30,92,0,0.05,0.057,0,0.06,0.507,0.667,0.184,48.2,0,0.08,15.5,22,0.039,0.42,15,0.155,44,299,0.6,0.27,15.7
24,spinach,23,0.4,0.1,0,0.2,3.6,0.4,2.9,2.2,0,79,91,0.469,0.078,0.194,0,0.189,0.724,0.065,0.195,28.1,0,2.03,482.9,99,0.13,2.71,79,0.897,49,558,1,0.53,22.5
25,kale,49,0.9,0.1,0.1,0.4,9,2.3,4.3,3.6,0,38,84,0.241,0.113,0.062,0,0.347,1.18,0.09,0.271,120,0,1.54,704.8,150,1.5,1.47,47,0.659,92,491,0.9,0.56,24.3
26,lettuce,15,0.2,0,0,0.1,2.9,0.8,1.4,1.3,0,28,95,0.37,0.07,0.038,0,0.08,0.375,0.134,0.09,9.2,0,0.22,126.3,36,0.029,0.86,13,0.25,29,194,0.6,0.18,13.2
27,cabbage,25,0.1,0,0,0.1,6,3.2,1.3,2.5,0,18,92,0.005,0.061,0.043,0,0.04,0.234,0.212,0.124,36.6,0,0.15,76,40,0.019,0.47,12,0.16,26,170,0.3,0.18,14.1
28,brussels sprouts,43,0.3,0,0.1,0.1,9,2.2,3.4,3.8,0,25,86,0.038,0.139,0.061,0,0.09,0.745,0.309,0.219,85,0,0.88,177,42,0.07,1.4,23,0.337,69,389,1.4,0.42,19.3
29,green beans,31,0.1,0,0,0,7,3.3,1.8,2.7,0,6,90,0.035,0.082,0.033,0,0.104,0.734,0.225,0.141,12.2,0,0.41,43,37,0.069,1.03,25,0.214,38,211,0.6,0.24,14.7
30,peas,81,0.4,0.1,0.1,0.2,14,6,5.4,5.7,0,5,78,0.038,0.266,0.065,0,0.132,2.09,0.104,0.169,40,0,0.13,24.8,25,0.176,1.47,33,0.41,108,244,1.8,1.2,18.1
31,asparagus,20,0.1,0,0,0.1,3.9,1.9,2.2,2.1,0,2,93,0.038,0.143,0.052,0,0.141,0.978,0.274,0.091,5.6,0,1.13,41.6,24,0.19,2.14,14,0.158,52,202,2.3,0.54,17.3
32,eggplant,25,0.2,0,0,0.1,6,3.5,1,3,0,2,92,0.001,0.039,0.022,0,0.037,0.649,0.281,0.084,2.2,0,0.3,3.5,9,0.081,0.23,14,0.232,24,229,0.3,0.16,11.5
33,zucchini,17,0.3,0.1,0.1,0.1,3.1,2.5,1.2,1,0,8,94,0.01,0.045,0.024,0,0.094,0.451,0.204,0.163,17.9,0,0.12,4.3,16,0.051,0.37,18,0.177,38,261,0.2,0.32,12.6
34,bell pepper red,31,0.3,0,0,0.1,6,4.2,1,2.1,0,4,92,0.157,0.057,0.046,0,0.085,0.979,0.099,0.291,127.7,0,1.58,4.9,7,0.066,0.43,12,0.112,26,211,0,0.25,16.8
35,bell pepper green,20,0.2,0,0,0.1,4.6,2.4,0.9,1.7,0,3,94,0.018,0.057,0.01,0,0.028,0.48,0.099,0.224,80.4,0,0.37,7.4,10,0.066,0.34,10,0.122,20,175,0.3,0.13,14.4
36,onion,40,0.1,0,0,0,9.3,4.2,1.1,1.7,0,4,89,0,0.046,0.019,0,0.027,0.116,0.123,0.12,7.4,0,0.02,0.4,23,0.039,0.21,10,0.129,29,146,0.5,0.17,10.8
37,garlic,149,0.5,0.1,0,0.2,33,1,6.4,2.1,0,17,59,0,0.2,0.003,0,0.11,0.7,0.596,1.235,31.2,0,0.08,1.7,181,0.299,1.7,25,1.672,153,401,14.2,1.16,19.7
38,sweet potato,86,0.1,0,0,0,20,4.2,1.6,3,0,55,77,0.709,0.078,0.011,0,0.061,0.557,0.8,0.209,2.4,0,0.26,1.8,30,0.151,0.61,25,0.258,47,337,0.6,0.3,17.5
39,potato,77,0.1,0,0,0,17,0.8,2,2.2,0,6,79,0,0.081,0.015,0,0.032,1.061,0.296,0.298,19.7,0,0.01,2,12,0.11,0.81,23,0.153,57,425,0.4,0.3,13.1
40,beetroot,43,0.2,0,0,0.1,10,7,1.6,2.8,0,78,88,0.002,0.031,0.109,0,0.04,0.334,0.155,0.067,4.9,0,0.04,0.2,16,0.075,0.8,23,0.329,40,325,0.7,0.35,14.9
41,radish,16,0.1,0,0,0,3.4,1.9,0.7,1.6,0,39,95,0.001,0.012,0.025,0,0.039,0.254,0.165,0.071,14.8,0,0,1.3,25,0.05,0.34,10,0.069,20,233,0.6,0.28,10.6
42,celery,16,0.2,0,0,0.1,3,1.3,0.7,1.6,0,80,95,0.022,0.021,0.036,0,0.057,0.32,0.246,0.074,3.1,0,0.27,29.3,40,0.035,0.2,11,0.103,24,260,0.4,0.13,11.9
43,mushroom white,22,0.3,0,0,0.2,3.3,2,3.1,1,0,5,92,0,0.081,0.017,0.04,0.402,3.607,1.497,0.104,2.1,0.2,0.01,0,3,0.318,0.5,9,0.047,86,318,9.3,0.52,15.8
44,shiitake mushroom,34,0.5,0.1,0.1,0.2,7,2.4,2.2,2.5,0,9,89,0,0.015,0.013,0,0.217,3.877,1.5,0.293,3.5,0.1,0.01,2.1,2,0.896,0.41,20,0.23,112,304,5.7,1.03,17.6
45,artichoke,47,0.2,0,0,0.1,11,1,3.3,5.4,0,94,84,0.001,0.072,0.068,0,0.066,1.046,0.338,0.116,11.7,0,0.19,14.8,44,0.231,1.28,60,0.256,90,370,0.2,0.49,18.2
46,pumpkin,26,0.1,0,0,0.1,7,2.8,1,0.5,0,1,91,0.426,0.05,0.016,0,0.11,0.6,0.298,0.061,9,0,1.06,1.1,21,0.127,0.8,12,0.125,44,340,0.3,0.32,15.2
47,butternut squash,45,0.1,0,0,0.1,12,2.2,1,2,0,4,86,0.532,0.1,0.027,0,0.02,1.2,0.4,0.154,21,0,1.44,1.1,48,0.072,0.7,34,0.202,33,352,1.2,0.15,17.4
48,corn,86,1.4,0.2,0.4,0.6,19,6.3,3.3,2.7,0,15,76,0.009,0.155,0.042,0,0.055,1.77,0.717,0.093,6.8,0,0.07,0.3,2,0.054,0.52,37,0.163,89,270,0.6,0.46,13.6
49,olive black,116,11,1.4,8,0.8,6,0,0.8,1.6,0,735,80,0.02,0.003,0,0,0,0.04,0.021,0.009,0,0,1.65,1.4,88,0.251,3.3,4,0.02,3,8,0.9,0.22,11.8
50,nectarine,44,0.3,0,0.1,0.1,11,8,1.1,1.7,0,0,87,0.017,0.034,0.005,0,0.027,1.125,0.185,0.025,5.4,0,0.77,2.2,6,0.086,0.28,9,0.054,26,201,0,0.17,9.2
51,tangerine,53,0.3,0,0.1,0.1,13,11,0.8,1.8,0,2,85,0.034,0.058,0.016,0,0.036,0.376,0.216,0.078,26.7,0,0.2,0,37,0.042,0.15,12,0.039,20,166,0.1,0.07,10.7
52,grapefruit,42,0.1,0,0,0,11,7,0.8,1.6,0,0,88,0.058,0.037,0.01,0,0.02,0.269,0.283,0.036,31.2,0,0.13,0,22,0.047,0.08,9,0.012,18,135,0.1,0.07,10.1
53,persimmon,70,0.2,0,0.1,0.1,19,13,0.6,3.6,0,1,80,0.081,0.03,0.008,0,0.02,0.1,0.15,0.1,7.5,0,0.73,2.6,8,0.113,0.15,9,0.355,17,161,0.6,0.11,11.6
54,lychee,66,0.4,0.1,0.1,0.1,17,15,0.8,1.3,0,1,82,0,0.011,0.014,0,0.065,0.603,0.135,0.1,71.5,0,0.07,0.4,5,0.148,0.31,10,0.055,31,171,0.6,0.07,11.3
