Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,whole milk,61,3.3,1.9,0.8,0.2,4.8,5,3.2,0,10,43,88,0.046,0.042,0.005,0.45,0.18,0.09,0.36,0.04,0,0.03,0.07,0.3,113,0.01,0.03,10,0.004,84,132,1.9,0.37,8.1
1,skim milk,34,0.1,0.1,0,0,5,5.1,3.4,0,2,42,90,0.002,0.044,0.005,0.49,0.18,0.08,0.35,0.04,0,0.04,0,0.1,122,0.01,0.03,11,0.004,95,150,1.8,0.4,9.2
2,kefir,55,2,1.2,0.5,0.1,4.4,4.4,3.5,0,8,50,89,0.03,0.04,0.005,0.29,0.18,0.1,0.3,0.04,0.7,0.03,0.08,0.3,120,0.01,0.04,12,0.005,95,150,2,0.45,9.4
3,plain yogurt,59,3.3,2.1,0.9,0.1,3.6,3.2,10,0,13,36,82,0.027,0.04,0.007,0.75,0.14,0.08,0.39,0.05,0.5,0.02,0.06,0.2,110,0.02,0.05,11,0.005,135,141,3.5,0.52,11.3
4,greek yogurt,97,5,3.1,1.4,0.2,3.9,3.6,9,0,16,36,81,0.03,0.05,0.008,0.78,0.2,0.09,0.45,0.06,0.6,0.03,0.08,0.3,115,0.02,0.06,12,0.006,140,150,4,0.6,12.5
5,vanilla yogurt,88,2.5,1.5,0.6,0.1,13,12,4.5,0,10,60,79,0.02,0.03,0.004,0.3,0.15,0.1,0.32,0.05,0.2,0.02,0.04,0.2,130,0.01,0.03,10,0.004,100,170,2.2,0.4,7.6
6,ricotta cheese,174,13,8.3,3.7,0.4,3,0.3,11,0,51,84,73,0.12,0.02,0.006,0.34,0.25,0.1,0.4,0.05,0,0.04,0.11,1.1,207,0.03,0.38,11,0.01,158,105,14.5,1.1,10.4
7,cottage cheese,98,4.3,1.7,1.1,0.1,3.4,2.7,11,0,17,364,79,0.04,0.03,0.012,0.45,0.16,0.09,0.34,0.05,0,0.01,0.08,0.1,83,0.03,0.07,8,0.003,159,104,9.7,0.4,10.9
8,mozzarella,280,17,11,4.5,0.5,3.1,1,28,0,54,627,50,0.17,0.03,0.007,1.5,0.28,0.1,0.14,0.04,0,0.2,0.19,2.3,731,0.01,0.44,27,0.03,505,95,17,2.9,14.8
9,cheddar cheese,403,33,19,9.4,1.1,1.3,0.5,25,0,105,621,37,0.26,0.03,0.018,1,0.35,0.08,0.41,0.07,0,0.24,0.71,2.4,721,0.03,0.68,28,0.01,512,98,14.5,3.1,15.2
10,parmesan cheese,431,29,17,8.4,0.9,4.1,0.9,38,0,88,1529,30,0.21,0.04,0.007,1.2,0.33,0.08,0.45,0.09,0,0.3,0.22,2.8,1184,0.03,0.82,44,0.02,694,92,22.5,2.7,18.3
11,brie cheese,334,28,17,8.1,0.8,0.5,0.5,21,0,100,629,48,0.17,0.02,0.01,1.7,0.52,0.38,0.69,0.23,0,0.5,0.24,2.3,184,0.02,0.5,20,0.03,188,152,14.5,2.4,13.4
12,camembert cheese,300,24,15,6.7,0.7,0.1,0.1,20,0,72,842,52,0.18,0.03,0.012,1.3,0.48,0.63,1.36,0.23,0,0.4,0.21,2.1,388,0.02,0.33,20,0.04,347,187,14.5,2.4,14.2
13,feta cheese,264,21,15,4.3,0.6,4.1,4.1,14,0,89,1116,56,0.13,0.15,0.032,1.69,0.84,0.99,0.97,0.42,0,0.4,0.18,1.8,493,0.03,0.65,19,0.03,337,62,15,2.9,12.9
14,gouda cheese,356,27,18,7.7,0.7,2.2,2.2,25,0,114,819,42,0.17,0.03,0.021,1.5,0.33,0.06,0.34,0.08,0,0.5,0.24,2.3,700,0.04,0.24,29,0.01,546,121,14.5,3.9,15.1
15,swiss cheese,380,28,18,8,1,5.4,0.4,27,0,93,192,38,0.2,0.05,0.01,3.1,0.3,0.1,0.34,0.08,0,0.6,0.25,2.5,791,0.03,0.19,38,0.01,567,111,26.8,4.4,16.2
