Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,olive oil,884,100,14,73,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,60,1,0,0.6,0,0,0,1,0,15.5
1,avocado oil,884,100,12,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0,0,0,0,16.2
2,coconut oil,892,100,82,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,7.8
3,butter salted,717,81,51,21,3,0.1,0.1,0.9,0,215,643,16,0.68,0.005,0.003,0.17,0.03,0.04,0.11,0.003,0,1.5,2.3,7,24,0.02,0.02,2,0,24,24,1,0.1,12.4
4,ghee,900,99,62,29,4,0,0,0,0,256,2,0,0.84,0.008,0.004,0.2,0.04,0.1,0.01,0.004,0,1.7,2.7,0,4,0,0,0,0,0,0,0,13.2
5,canola oil,884,100,7,63,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,71,0,0,0,0,0,0,0,0,17.8
6,sunflower oil,884,100,10,20,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,0,0,0,0,0,0,0,18.5
7,sesame oil,884,100,14,40,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,13.6,0,0,0,0,0,0,0,0,18.1
8,peanut oil,884,100,17,46,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.7,0,0,0,0,0,0,0,0,16.7
9,almond butter,614,56,4.2,35,13,19,4.8,21,11,0,1,2.7,0,0.2,0.05,0,1.0,3.4,0.4,0.1,0,0,24,0,347,0.9,3.9,279,1.8,508,748,4.1,3.2,28.6
10,peanut butter,588,50,10,24,14,20,9,25,6,0,17,1.1,0,0.12,0.09,0,0.1,13,1.7,0.5,0,0,9.2,0,43,0.5,1.9,154,1.7,336,649,4.1,2.5,26.1
11,margarine,717,80,15,39,21,0.7,0.1,0.2,0,0,700,16,0.8,0.01,0.004,0,0.02,0.1,0.05,0.01,0,0,9,30,3,0,0.1,1,0,3,5,0,0,11.7
12,lard,902,100,39,45,11,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0,0.1,1,0,0,0,0,8.4
13,duck fat,902,100,33,50,13,0,0,0,0,100,0,0,0.02,0,0,0.3,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,10.9
14,beef tallow,902,100,50,42,4,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,2.7,8,0,0,0,0,0,0,0,0,0,9.1
15,flaxseed oil,884,100,9,18,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.3,0,0,0,0,0,0,0,0,19.3
16,walnut oil,884,100,9,23,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,20.1
17,palm oil,884,100,49,37,9,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,10.4
