Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,almonds,579,50,3.8,32,12,22,4.4,21,12.5,0,1,4.4,0.003,0.21,0.05,0,1.1,3.6,0.47,0.14,0,0,25.6,0,269,1.0,3.7,270,2.2,481,733,4.1,3.1,29.5
1,walnuts,654,65,6.1,9,47,14,2.6,15,6.7,0,2,4,0.001,0.34,0.09,0,0.15,1.1,0.57,0.54,1.3,0,0.7,2.7,98,1.6,2.9,158,3.4,346,441,4.9,3.1,28.2
2,cashews,553,44,7.8,24,8,30,5.9,18,3.3,0,12,5.2,0,0.42,0.025,0,0.06,1.1,0.86,0.42,0.5,0,0.9,34,37,2.2,6.7,292,1.7,593,660,19.9,5.8,27.1
3,pistachios,562,45,5.6,24,14,28,7.7,20,10.3,0,1,4,0.026,0.87,0.051,0,0.16,1.3,0.52,1.7,5.6,0,2.3,13.2,105,1.3,3.9,121,1.2,490,1025,7,2.2,30.4
4,pecans,691,72,6.2,41,21,14,4,9,10,0,0,3.5,0.002,0.66,0.022,0,0.13,1.2,0.86,0.21,1.1,0,1.4,3.5,70,1.2,2.5,121,4.5,277,410,3.8,4.5,27.8
5,hazelnuts,628,61,4.5,46,8,17,4.3,15,10,0,0,5.3,0.001,0.64,0.11,0,0.11,1.8,0.92,0.56,6.3,0,15,14.2,114,1.7,4.7,163,6.2,290,680,2.4,2.5,31.2
6,macadamia nuts,718,76,12,59,1.5,14,4.6,8,8.6,0,5,1.4,0.001,1.2,0.011,0,0.16,2.5,0.76,0.27,1.2,0,0.5,0,85,0.76,3.7,130,4.1,188,368,3.6,1.3,25.6
7,peanuts,567,49,6.8,24,16,16,4.7,26,8.5,0,18,6.5,0,0.64,0.24,0,0.13,12,1.8,0.35,0,0,8.3,0,92,1.1,4.6,168,1.9,376,705,7.2,3.3,29.1
8,brazil nuts,659,67,16,24,24,12,2.3,14,7.5,0,3,3.4,0,0.62,0.022,0,0.04,0.3,0.18,0.1,0.7,0,5.7,0,160,1.7,2.4,376,1.2,725,659,1917,4.1,33.5
9,pine nuts,673,68,4.9,19,34,13,3.6,14,3.7,0,2,2.3,0.001,0.36,0.034,0,0.23,4.4,0.31,0.09,0.8,0,9.3,54,16,1.3,5.5,251,8.8,575,597,0.7,6.5,30.8
10,chia seeds,486,31,3.3,2.3,24,42,0,17,34,0,16,6,0.005,0.62,0.049,0,0.17,8.8,0.92,0.54,1.6,0,0.5,0,631,0.9,7.7,335,2.7,860,407,55,4.6,35.7
16,lentils,116,0.4,0.1,0.1,0.2,20,1.8,9,8,0,2,69,0.001,0.17,0.18,0,0.07,1.1,0.6,0.18,1.5,0,0.1,1.7,19,0.25,3.3,36,0.5,180,369,2.8,1.3,24.1
17,chickpeas,164,2.6,0.3,0.6,1.1,27,4.8,9,7.6,0,7,60,0.001,0.12,0.17,0,0.06,0.5,0.3,0.14,1.3,0,0.35,4,49,0.35,2.9,48,1,168,291,3.7,1.5,24.8
18,black beans,132,0.5,0.1,0.1,0.2,24,0.3,8.9,8.7,0,1,65,0,0.24,0.15,0,0.06,0.5,0.24,0.07,0,0,0.9,5.6,27,0.21,2.1,70,0.4,140,355,1.2,1.1,25.5
19,kidney beans,127,0.5,0.1,0.1,0.3,23,0.3,8.7,6.4,0,1,67,0,0.16,0.13,0,0.06,0.4,0.22,0.14,0,0,0.03,5.7,28,0.25,2.9,45,0.4,142,405,1.2,1.1,23.9
20,edamame,121,5.2,0.6,1.2,2.2,9.9,2.2,11.9,5.2,0,6,73,0.01,0.2,0.31,0,0.15,0.9,0.4,0.1,6.1,0,0.7,26,63,0.3,2.3,64,1,169,436,0.8,1.4,30.1
21,green peas,84,0.4,0.1,0.1,0.2,15,5.7,5.4,5.1,0,3,78,0.038,0.27,0.065,0,0.13,2.1,0.1,0.17,40,0,0.1,25,25,0.18,1.5,33,0.4,108,244,1.8,1.2,23.3
22,red lentils,116,0.4,0.1,0.1,0.2,20,1.8,9,8,0,2,69,0.001,0.17,0.18,0,0.07,1.1,0.6,0.18,1.5,0,0.1,1.7,19,0.25,3.3,36,0.5,180,369,2.8,1.3,24.2
23,green lentils,118,0.4,0.1,0.1,0.2,20,1.7,9.2,8.1,0,2,68,0.001,0.18,0.19,0,0.07,1.2,0.6,0.18,1.6,0,0.1,1.8,20,0.26,3.4,37,0.5,181,370,2.9,1.3,24.4
24,almond butter,614,56,4.2,35,13,19,4.8,21,11,0,1,2.7,0,0.2,0.05,0,1,3.4,0.4,0.1,0,0,24,0,347,0.9,3.9,279,1.8,508,748,4.1,3.2,28.6
25,peanut butter,588,50,10,24,14,20,9,25,6,0,17,1.1,0,0.12,0.09,0,0.1,13,1.7,0.5,0,0,9.2,0,43,0.5,1.9,154,1.7,336,649,4.1,2.5,26.1
